20230223	20:51:03	829dc693-91f9-49bf-8b97-cafa5ba2c1a5	/new-page	GET20230223	20:51:03	b927f5ef-48f0-4054-aa19-b2241ee3f978	/favicon.ico	GET20230223	20:52:06	c8cbe708-25da-494c-ace8-3c87caa5e199	/new-page	GET20230223	20:55:14	19e87173-a8a0-4638-ba68-224d748f778c	/new-page	GET20230223	20:55:45	9f716f73-9131-481b-82b6-5ba46cabddc5	/new-page	GET20230223	20:55:57	f250951a-4393-4bf4-b33f-9d8480f01212	/	GET20230223	21:02:49	ea2bd733-dd5e-4812-965f-fff9d5bb1b22	/	GET
20230223	21:03:18	7ac9a367-61be-4ea7-a219-f55f67320350	/	GET
20230223	21:03:18	69bd9573-a9ce-4873-b074-004beb6919e9	/css/style.css	GET
20230223	23:37:11	87345a49-1ac8-47f9-96b7-d7f03d871c83	GET	undefined	/
20230223	23:37:11	d75176e2-e773-4f6d-ae31-8606274388da	GET	undefined	/css/style.css
20230223	23:39:43	b2273ef7-ef62-4da5-b152-cf8bf07eaa0a	GET	undefined	/
20230223	23:39:43	59b972c4-c076-4d4f-9700-e86ee8ed5cc1	GET	undefined	/css/style.css
20230223	23:45:49	153aea03-b080-49a0-b8ef-1c538cef2b72	GET	https://www.google.com	/
20230223	23:46:20	72f71178-1aed-4a1f-97e4-4f710ffae8b2	OPTIONS	https://www.google.com	/
20230223	23:46:20	06b3de05-e974-4251-b607-3dfe62499e89	GET	https://www.google.com	/
20230223	23:53:35	e63c9d38-0b36-4894-af7b-b866ed259220	OPTIONS	https://www.google.it	/
20230223	23:53:35	5fc866b9-a36d-443a-91ef-4a8fb6103165	GET	https://www.google.it	/
20230223	23:54:04	6a8140f2-d7e7-4dab-a53c-875c30e05e39	OPTIONS	https://www.google.it	/
20230223	23:54:04	29033580-887a-4380-9044-1d3e57e6058e	GET	https://www.google.it	/
20230223	23:54:21	badadbf3-51ec-4655-afa9-a5b55014fc4b	GET	undefined	/
20230223	23:55:58	65c92758-cdc0-4dae-b463-b0442c04c084	OPTIONS	https://www.google.it	/
20230223	23:55:58	72643692-84a1-47e1-a3ed-8bd9896411e2	GET	https://www.google.it	/
20230223	23:56:08	efd4b6c2-374b-4026-865f-2a7a9a2b91b3	OPTIONS	https://www.google.com	/
20230223	23:56:08	5d5fd6df-bd38-4ddb-9e69-e0393ca86b68	GET	https://www.google.com	/
20230223	23:56:15	0e44b80c-969e-4df8-9ef5-95cf4d15ee0a	GET	undefined	/
20230223	23:56:36	6e5d6f1d-68e6-4ef3-be5f-f15444d6688b	GET	undefined	/
20230223	23:56:42	99a2f357-7178-4e9f-8499-9b1bb657cdb9	GET	undefined	/
20230224	00:02:16	4e790d5a-b19f-459d-8e21-bf05a8c8d409	OPTIONS	https://www.google.com	/
20230224	00:02:16	b75754cd-37b4-4298-b14c-6f9e5c63c031	GET	https://www.google.com	/
20230224	00:06:06	e25265b5-4927-4526-aa37-0c5896582d55	OPTIONS	https://www.google.com	/
20230224	00:06:06	5b222a31-920c-487e-b1e9-616a0d5ed383	GET	https://www.google.com	/
20230224	00:06:09	3f1aeb32-127a-4f21-a390-d71a8fb7d5d9	GET	undefined	/
20230224	00:06:45	08ee55ce-e27e-46ea-9e94-f62f411f3c2e	GET	undefined	/
20230224	00:10:23	a15b3a6f-5a6b-48c5-a1d9-5254f71f5c6a	OPTIONS	https://www.google.com	/
20230224	00:10:23	dba591d6-1cbb-4865-bd83-14518d26973f	GET	https://www.google.com	/
20230224	00:13:49	6926532f-5756-4dd2-af1d-3a37af0e6bf9	GET	undefined	/
20230224	00:16:58	e3faf110-d71a-42d8-b911-7cf9fa3a6b24	GET	undefined	/
20230224	00:17:35	7b08c3a3-f6f8-463d-8cff-feca25f424de	GET	undefined	/
20230224	00:17:35	7ae3f6a4-74eb-4594-88f1-66d6ce57278e	GET	undefined	/css/style.css
20230224	00:24:05	e9e4d171-2733-43f0-9c90-28211d73c5c3	GET	undefined	/
20230224	00:25:45	775787e6-047b-4af6-9e43-7bc005cef188	GET	undefined	/
20230224	00:26:07	0f9cce41-6a2d-41f3-b063-abab09d480e4	GET	undefined	/
20230224	00:26:07	18ad7e20-92b5-4be9-b8fb-e036e846396c	GET	undefined	/css/style.css
20230224	00:27:29	141fc6de-a9cd-45a6-aaa1-2ebe846680be	GET	undefined	/dave
20230224	00:27:29	0120fb1e-eada-4516-be35-9e65ee933db4	GET	undefined	/css/style.css
20230224	00:30:34	86b30440-b86d-45ae-8dac-ff3e08ecd3d5	GET	undefined	/dave
20230224	00:30:34	f2268b10-319b-4e63-bfeb-ffc6ed4fc0fc	GET	undefined	/css/style.css
20230224	13:34:36	1f408ac9-ce8d-4913-8a06-ebb5931e9810	GET	undefined	/
20230224	13:34:36	10bb9802-0a9d-44ff-b8d4-772ed5032188	GET	undefined	/css/style.css
20230224	13:34:40	64f5147d-997a-4924-b597-cc3765a24be8	GET	undefined	/favicon.ico
20230224	13:34:48	cfa468f0-5024-41be-b685-dfcc2e08d4cc	GET	undefined	/subdir
20230224	13:41:16	3414dc7b-fe5c-4c49-b3b3-6ab4354c9369	GET	undefined	/subdir/test
